method,environment,sr_pct,cost_ro_per_ep
CaTS,HotpotQA,93.2,1.06
CaTS,WebShop,30.5,3.05
CaTS,FEVER,50.2,4.71
SEAG,HotpotQA,67.5,0.80
SEAG,WebShop,28.0,2.28
SEAG,FEVER,49.3,3.12
CoRefine,HotpotQA,68.2,0.79
CoRefine,WebShop,27.5,2.21
CoRefine,FEVER,49.8,3.12
CATTS,HotpotQA,68.3,1.07
CATTS,WebShop,16.0,0.19
CATTS,FEVER,34.2,0.06
AUQ,HotpotQA,97.0,1.69
AUQ,WebShop,35.7,5.33
AUQ,FEVER,40.7,1.17
s1_budget,HotpotQA,97.0,1.04
s1_budget,WebShop,7.8,1.00
s1_budget,FEVER,46.2,1.58
CaTS,TWExpress,96.7,1.97
SEAG,TWExpress,97.3,2.30
CoRefine,TWExpress,97.5,2.26
CATTS,TWExpress,97.5,2.26
AUQ,TWExpress,95.5,1.24
s1_budget,TWExpress,95.0,1.09
CaTS,Plancraft,22.3,4.39
SEAG,Plancraft,24.8,2.16
CoRefine,Plancraft,22.8,2.06
CATTS,Plancraft,25.0,2.14
AUQ,Plancraft,24.2,6.78
s1_budget,Plancraft,18.3,1.68
CaTS,APPS,66.2,0.54
SEAG,APPS,66.0,0.64
CoRefine,APPS,67.5,0.62
CATTS,APPS,60.8,0.02
AUQ,APPS,64.7,1.08
s1_budget,APPS,69.0,1.00
SCG,HotpotQA,96.8,1.09
SCG,WebShop,43.0,1.47
SCG,FEVER,98.0,0.99
SCG,TWExpress,97.0,1.38
SCG,Plancraft,21.5,3.33
SCG,APPS,79.5,1.00
BSW,HotpotQA,58.2,
BSW,WebShop,20.6,
BSW,FEVER,63.0,4.30
BSW,TWExpress,99.0,3.23
BSW,Plancraft,25.5,5.87
BSW,APPS,79.5,1.39
EAAG,HotpotQA,95.2,1.34
EAAG,WebShop,43.8,2.29
EAAG,FEVER,49.8,2.99
EAAG,TWExpress,99.0,2.84
EAAG,Plancraft,23.3,3.69
EAAG,APPS,73.0,1.35
base_only,HotpotQA,49.0,0.00
base_only,WebShop,7.2,0.00
base_only,FEVER,37.0,0.00
base_only,TWExpress,67.5,0.00
base_only,Plancraft,29.8,0.00
base_only,APPS,60.5,0.00
always_trigger,HotpotQA,97.0,1.80
always_trigger,WebShop,43.0,5.63
always_trigger,FEVER,99.8,1.46
always_trigger,TWExpress,99.3,3.45
always_trigger,Plancraft,22.8,6.99
always_trigger,APPS,79.5,2.19
